級,四字熟語,読み,意味
5級,悪衣悪食,あくいあくしょく,粗末な着物と食事のことから、質素で貧しい生活という意味。
5級,悪因悪果,あくいんあっか,元は仏教語で、悪いことをすると必ず悪い報いがあるという意味。「悪因」は悪い報いの原因、「悪果」は悪い結果や報い。悪いことをせずに、正しいことをするべきであるという戒めの言葉。
5級,悪逆無道,あくぎゃくむどう,人の道をはずれた計り知れないほどの悪行のこと。「悪逆」は律令法の八逆の中の一つで親族殺しのこと。「無道」は人としての道理にはずれていること。
5級,悪事千里,あくじせんり,悪い噂や悪い評判はすぐに遠くまで知れ渡るということ。「悪事」は悪い行い、「千里」は遠くの場所という意味。
5級,悪人正機,あくにんしょうき,罪深い悪人を救済することこそが、阿弥陀仏の本願であるという教えのこと。「正機」は人が悟りを得るための条件や資質のことで、悪人こそが往生するにふさわしい機根だとする浄土真宗の親鸞の基本的思想のこと。
5級,悪口雑言,あっこうぞうごん,様々な悪口を好き放題に言うこと。またはその言葉のこと。
5級,安居危思,あんきょきし,平和なときにでも、最悪な事態を想定して備えておくことが大切であるという戒めの言葉。「安居」は平和な生活。 「危思」は危険な事態を思い浮かべること。「安きに居りて危うきを思う」とも訓読する。
5級,安居楽業,あんきょらくぎょう,今の地位や立場などに満足して、楽しみながら仕事をすること。または、よい政治が行われ、人々の生活が安定していること。「居に安んじ、業（ぎょう）を楽しむ」とも、「安居（あんきょ）して業（ぎょう）を楽しむ」とも読む。
5級,安心立命,あんじんりつめい,どんなに困難な場面に遭遇しても心を安らかな状態に保ち、どんな時にも惑わされずに天命をまっとうすること。「安心」は仏教の語で、信仰により得ることが出来る心の安らぎの境地。「立命」は儒教の語で、天命をまっとうすること。「立命安心」ともいう。
5級,暗送秋波,あんそうしゅうは,ひそかに機嫌を取ってとりいろうとすること。または、女性が色目を使うこと。または、表には出さず陰で悪だくみをすること。「暗」はこっそり、ひっそりの意。「秋波」は美人の澄んだ目は秋の波のように涼しげであることから、色目のこと。「暗（あん）に秋波（しゅうは）を送る」とも読む。
5級,安宅正路,あんたくせいろ,仁と義のたとえ。「安宅」は住み心地の良い家のことで、安らかな身の置き場の意から、仁のたとえ。「正路」は人の歩むべき正しい道という意から、義のたとえ。
5級,易往易行,いおういぎょう,阿弥陀如来にすがり南無阿弥陀仏を唱えれば、たやすい修行で極楽往生できるという他力本願の浄土宗の教えのこと。
5級,意気投合,いきとうごう,気持ちや考えが一致すること。または、気が合うこと。「意気」は気持ちや考え、「投合」は一致するという意味。
5級,異曲同工,いきょくどうこう,見た目は違っているが、手法や技術に大きな差がないこと。「曲」は音曲のこと。 「工」は技術、技巧のこと。同じ技巧の音曲でも味わいが異なっていたり、同じ技巧の詩文でも趣が異なっていること。「同工異曲」ともいう。
5級,異口同音,いくどうおん,全員が同じことを言うこと。 または、全員の意見が一つに揃うこと。「異口」は多くの自分以外の口。「同音」は口をそろえて言うこと。
5級,意在言外,いざいげんがい,自分の考えを意図的に曖昧にして、相手に推察させること。または、詩文の字間や行間に自分の考えを込めること。
5級,医食同源,いしょくどうげん,日常の食生活に気を配ることが、一番の病気予防になるということ。「医食」は医薬と食事。 「同源」は根本が同じであるということ。病気を治すために飲む薬と日常の食事は、どちらも健康を維持するためのものであり、根本は同じであるということから。
5級,以心伝心,いしんでんしん,言葉や文字などを使うことなく、心と心で互いの意志や気持ちが通じ合うこと。元は、文字や言葉では表現できない奥義を、師と弟子の心を通わせることで伝えることを意味した禅宗の言葉。「心（こころ）を以（もっ）て心（こころ）に伝（つた）う」と訓読する。
5級,衣帯中賛,いたいちゅうのさん,中国南宋の文天祥という人物が、処刑されるときに帯の中に残した文章のこと。または、仁義や忠節を守り通すこと。「衣帯中」は衣服の帯の中のこと。「賛」は人や物事を褒め称える文体のこと。南宋が滅ぼされていく中、南宋の文天祥は元（げん）に捕らえられ、元に仕えるように迫られたが、南宋への忠義を守り通して処刑された。文天祥の帯の中には、死に臨む賛の文章が残されていたという故事から。
5級,異体同心,いたいどうしん,それぞれ異なる体を持っているが、心は強く結ばれていること。「異体」は異なる体のこと。 「同心」は心が同じであること。おもに夫婦や親しい人間関係などの深い関係をいう言葉。
5級,衣帯不解,いたいふかい,他のことを忘れるほど、あることに集中すること。「衣帯」は着物と帯のこと。衣服も着替えず、不眠不休で仕事に取り組むことから。「衣帯（いたい）を解かず」とも読む。「不解衣帯」ともいう。
5級,一意専心,いちいせんしん,他のことに心を奪われることなく、一つのことだけに心を注ぐこと。「一意」と「専心」はどちらも一つのことだけに心を注ぐこと。「専心」は「摶心」とも書く。「専心一意（摶心一意）」ともいう。
5級,一衣帯水,いちいたいすい,海や川が間にあって遮られているが、非常に距離が近いこと。または、互いの関係が非常に深いこと。陳の君主の悪政によって庶民が飢えと寒さで窮地に陥ったときに、隣国の隋の文帝が「たった一本の帯のような川（揚子江）に隔てられているからといって、民を見捨てることができるか」といって、陳の国を討伐したという故事から。
5級,一往一来,いちおういちらい,"行ったり来たりすること。 「一」は\""ある時は\""という意味。「往」は行くこと。「来」は来ること。"
5級,一牛鳴地,いちぎゅうめいち,非常に近い距離にあること。 または、のどかな田舎、田園風景のこと。「牛鳴」とは牛の鳴く声のことで、牛の鳴き声が聞こえるほど近い距離という意から。「一牛鳴」とも略す言葉。
5級,一言一行,いちげんいっこう,一つの言葉と一つの行いのこと。何気ない言動のこと。
5級,一言半句,いちごんはんく,短い言葉。些細な言葉。一言。「一言」と「半句」はどちらも少しの言葉という意味で、似ている意味のものを重ねて強調した言葉。
5級,一新紀元,いちしんきげん,新しい時代の始まりのこと。また、新しい時代の最初の年のこと。「新紀元」は新時代の最初の年のこと。
5級,一字千金,いちじせんきん,筆跡や詩文がすぐれていることのたとえ。「一字」は文字の一つ、「千金」は多額の金銭のたとえで、一つ一つの文字に大金のような価値があるという意味から。『呂氏春秋』を完成させたときに、都の門の前に並べて、一文字でも添削できれば千金を与えようと言って、出来映えを誇ったという故事から。
5級,一日三秋,いちじつさんしゅう,"相手を恋しく思う気持ちが深いこと。 または、とても待ち遠しいこと。「三秋」は秋が三回過ぎることから""三年""の意。一日会わなかっただけで、三年も会わなかったような気がすることから。"
5級,一日千秋,いちじつせんしゅう,時、人、物などが来るのを今か今かと楽しみに待つこと。「千秋」は秋が千回来ることから千年という意味。その時が来るのが楽しみで、一日が千年のように長く感じるという意味。
5級,一字不説,いちじふせつ,仏法の真理や悟りの境地は大変奥深く、言葉で言い表すことはできないため、自ら体得するしかないということ。釈迦が悟り得た境地の真理は一字も説いていないことから。「不説一字」ともいう。
5級,一上一下,いちじょういちげ,"上がったり下がったりすること。 または、情況に合わせて対応すること。「一」は\""あるときは\""の意味。"
5級,一場春夢,いちじょうのしゅんむ,人生の栄光や繁栄が、儚く消えてしまうことのたとえ。「一場」はほんの短い間の意。春の夜にみる夢のように儚いということから。
5級,一時流行,いちじりゅうこう,その時々の世の中の好みに合った一時的な新しさのこと。もとは俳諧のことばで、常に新しさを求めて、変化を重ねていくことから。
5級,一大決心,いちだいけっしん,生涯に一度しかないような大きな決意のこと。「一大」は重要なという意味。名詞の前に付けて意味を補ったり変えたりする接頭辞。「決心」は意志を心に決めること。
5級,一団和気,いちだんのわき,なごやかな雰囲気のこと。 親密さがあふれており、親しみやすい様子。「一団」は集団のこと。
5級,一日不食,いちにちふしょく,毎日、仕事の後でないと食事をしないこと。 何よりも仕事を大切にする心得。唐のある禅師は、老齢にして毎日人一倍労務を行っていた。みかねた弟子たちが農具を隠し、師に休息をとるよう願った。禅師は農具を探したが見つからず休息をとったが、その日は食事をとることはなかった。弟子たちが理由を尋ねると「一日作らざれば一日食らわず」と答えたという故事から。
5級,一人当千,いちにんとうせん,非常に大きな力、勇気があること。 または、そのような人。一人が千人と同等の力を持っている意味から。「一人（いちにん）千人に当たる」とも読む。
5級,一病息災,いちびょうそくさい,一つくらい持病があったほうが、健康な人よりも体を気遣うようになり長生きできるということ。「一病」は持病が一つあること。「息災」は元は仏教語で、病気や災害などの災いを仏の力で止めるという意味から、災いもなく元気であること。
5級,一部始終,いちぶしじゅう,"物事の最初から最後までの詳しい事情のこと。 初めから終わりまで。「一部」は一つの書物のこと。""部""は書物を数える単位。「始終」は初めと終わり、または初めから終わりまでの全ての事情のこと。元は""一つの書物の初めから終わりまでの全ての内容""という意味の言葉。"
5級,一別以来,いちべついらい,この前会った時以来という意味。しばらく会っていない人との挨拶の時の言葉。 「一別」は一度別れるの意味。「一別来」とも略す。
